job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Data Engineer,"Director, Data Engineering (Vietnam-based)","Ho Chi Minh City, Vietnam",via LinkedIn,Full-time,FALSE,Vietnam,17/10/2023 08:30,FALSE,FALSE,Vietnam,,,,LMA Recruitment,"['sql', 'nosql', 'python', 'r', 'scala', 'java', 'rust', 'kotlin', 'hadoop', 'spark', 'kafka', 'tableau']","{'analyst_tools': ['tableau'], 'libraries': ['hadoop', 'spark', 'kafka'], 'programming': ['sql', 'nosql', 'python', 'r', 'scala', 'java', 'rust', 'kotlin']}"
Data Scientist,Research Engineer - Data Science,"Ho Chi Minh City, Vietnam",via Ai-Jobs.net,Full-time,FALSE,Vietnam,06/02/2023 08:41,FALSE,FALSE,Vietnam,year,200000,,Trusting Social,"['python', 'c++', 'java', 'javascript', 'tensorflow', 'pytorch', 'mxnet', 'opencv', 'linux', 'flow', 'git']","{'libraries': ['tensorflow', 'pytorch', 'mxnet', 'opencv'], 'os': ['linux'], 'other': ['flow', 'git'], 'programming': ['python', 'c++', 'java', 'javascript']}"
Data Engineer,Data Engineer Teamlead,"Hanoi, Ho√†n Ki·∫øm, Hanoi, Vietnam",via Vietnamnet,Full-time,FALSE,Vietnam,02/06/2023 08:35,TRUE,FALSE,Vietnam,,,,CÙng ty Cï ph?n Ch?ng kho·n An BÏnh,,
Data Scientist,Data Scientist (ML/DL),Vietnam,via Vn.linkedin.com,Full-time,FALSE,Vietnam,06/03/2023 09:12,FALSE,FALSE,Vietnam,,,,Ng‚n h‡ng SHB,"['sql', 'sas', 'sas', 'python']","{'analyst_tools': ['sas'], 'programming': ['sql', 'sas', 'python']}"
Data Engineer,Data Engineer,"Hanoi, Vietnam",via Indeed,Full-time,FALSE,Vietnam,13/09/2023 08:10,FALSE,FALSE,Vietnam,,,,CÙng Ty TNHH Jang In Furniture Viát Nam,"['sql', 'python', 'javascript', 'java', 'sql server', 'db2', 'oracle', 'redshift', 'aws', 'databricks', 'kafka', 'spark']","{'cloud': ['oracle', 'redshift', 'aws', 'databricks'], 'databases': ['sql server', 'db2'], 'libraries': ['kafka', 'spark'], 'programming': ['sql', 'python', 'javascript', 'java']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,21/06/2023 08:22,FALSE,FALSE,Vietnam,,,,Mirae Asset Finance Company (Vietnam),"['sql', 'python', 'scala', 'db2', 'hadoop', 'spark', 'kafka']","{'databases': ['db2'], 'libraries': ['hadoop', 'spark', 'kafka'], 'programming': ['sql', 'python', 'scala']}"
Data Engineer,"Senior/Lead Data Engineer (Python, SQL, NoSQL)","Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,16/08/2023 08:50,FALSE,FALSE,Vietnam,,,,Buymed,"['python', 'sql', 'nosql', 'java', 'scala', 'gcp', 'bigquery', 'airflow', 'flow']","{'cloud': ['gcp', 'bigquery'], 'libraries': ['airflow'], 'other': ['flow'], 'programming': ['python', 'sql', 'nosql', 'java', 'scala']}"
Data Analyst,Data Analyst SQL,"Hanoi, Ho√†n Ki·∫øm, Hanoi, Vietnam",via JobsGO,Full-time,FALSE,Vietnam,27/02/2023 08:19,TRUE,FALSE,Vietnam,,,,CÙng Ty TNHH Ph·t TriÉn Th??ng M?i V‡ Dãch V? K&K,"['sql', 'power bi', 'excel']","{'analyst_tools': ['power bi', 'excel'], 'programming': ['sql']}"
Data Scientist,Data Developer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,24/04/2023 08:11,FALSE,FALSE,Vietnam,,,,Amaris Consulting,"['sql', 't-sql', 'db2', 'sql server', 'oracle', 'ssis', 'ssrs']","{'analyst_tools': ['ssis', 'ssrs'], 'cloud': ['oracle'], 'databases': ['db2', 'sql server'], 'programming': ['sql', 't-sql']}"
Data Engineer,ChuyÍn viÍn cao c?p (Data Engineer) - Trung t‚m CÙng nghá D? Liáu...,"Hanoi, Ho√†n Ki·∫øm, Hanoi, Vietnam",via CareerBuilder,Full-time,FALSE,Vietnam,05/07/2023 08:21,TRUE,FALSE,Vietnam,,,,Ng‚n H‡ng TMCP Qu‚n ?ôi,,
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,07/08/2023 08:52,FALSE,FALSE,Vietnam,,,,Central Retail,"['sql', 'python', 'powershell', 'c', 'go', 'sql server', 'mysql', 'oracle', 'gcp', 'outlook', 'atlassian', 'jira', 'confluence']","{'analyst_tools': ['outlook'], 'async': ['jira', 'confluence'], 'cloud': ['oracle', 'gcp'], 'databases': ['sql server', 'mysql'], 'other': ['atlassian'], 'programming': ['sql', 'python', 'powershell', 'c', 'go']}"
Data Engineer,"Data Engineer (AWS, Banking Project)","Hanoi, Vietnam",via LinkedIn,Full-time,FALSE,Vietnam,08/12/2023 08:36,FALSE,FALSE,Vietnam,,,,HCLTech Vietnam,"['python', 'sql', 'aws', 'redshift', 'terraform', 'docker', 'kubernetes']","{'cloud': ['aws', 'redshift'], 'other': ['terraform', 'docker', 'kubernetes'], 'programming': ['python', 'sql']}"
Data Engineer,Data Infrastructure Engineer - Python / Java (Very cool salary),"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,08/09/2023 09:01,TRUE,FALSE,Vietnam,,,,LARION,"['python', 'java', 'mysql', 'kafka', 'spark', 'kubernetes', 'docker']","{'databases': ['mysql'], 'libraries': ['kafka', 'spark'], 'other': ['kubernetes', 'docker'], 'programming': ['python', 'java']}"
Data Analyst,Data Analyst,Vietnam,via CareerBuilder,Full-time,FALSE,Vietnam,19/10/2023 09:04,TRUE,FALSE,Vietnam,,,,CÙng ty Gëm S? Minh Long,,
Data Analyst,Work From Home Online Data Analyst (Vietnamese Speakers),"Ho Chi Minh City, Vietnam",via Pink Jobs,Part-time,FALSE,Vietnam,30/03/2023 08:17,TRUE,FALSE,Vietnam,,,,TELUS International,,
Data Engineer,"Data Engineer (Python, SQL, AWS)","Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,13/11/2023 09:08,FALSE,FALSE,Vietnam,,,,Renova Cloud,"['python', 'sql', 'aws', 'gcp', 'outlook', 'word', 'excel', 'powerpoint']","{'analyst_tools': ['outlook', 'word', 'excel', 'powerpoint'], 'cloud': ['aws', 'gcp'], 'programming': ['python', 'sql']}"
Data Engineer,DATA ENGINEER,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,18/07/2023 08:46,TRUE,FALSE,Vietnam,,,,Puzzle Studio,"['sql', 'gcp', 'aws', 'hadoop', 'spark', 'kafka', 'airflow']","{'cloud': ['gcp', 'aws'], 'libraries': ['hadoop', 'spark', 'kafka', 'airflow'], 'programming': ['sql']}"
Data Engineer,Middle Data Engineer,Anywhere,via LinkedIn Vietnam,Full-time,TRUE,Vietnam,31/01/2023 08:52,FALSE,FALSE,Vietnam,,,,Upmesh,"['python', 'sql', 'aws', 'redshift', 'flow']","{'cloud': ['aws', 'redshift'], 'other': ['flow'], 'programming': ['python', 'sql']}"
Data Engineer,Data Engineer (Hybrid),"Ho Chi Minh City, Vietnam",via Ai-Jobs.net,Full-time,FALSE,Vietnam,17/01/2023 08:25,FALSE,FALSE,Vietnam,year,96773,,KNOREX,"['python', 'scala', 'mongodb', 'mongodb', 'spark']","{'databases': ['mongodb'], 'libraries': ['spark'], 'programming': ['python', 'scala', 'mongodb']}"
Data Engineer,Facility Engineer (Quang Trung Data Center),"Ho Chi Minh City, Vietnam",via CareerBuilder,Full-time,FALSE,Vietnam,22/03/2023 08:34,TRUE,FALSE,Vietnam,,,,CÙng Ty Cï Ph?n VNG,,
Data Engineer,Data Engineer (Talend),"Ho Chi Minh City, Vietnam",via LinkedIn,Full-time,FALSE,Vietnam,27/10/2023 08:26,TRUE,FALSE,Vietnam,,,,Havas,"['java', 'sql', 'azure', 'aws', 'xamarin', 'asp.net', 'flow']","{'cloud': ['azure', 'aws'], 'libraries': ['xamarin'], 'other': ['flow'], 'programming': ['java', 'sql'], 'webframeworks': ['asp.net']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,11/09/2023 08:12,FALSE,FALSE,Vietnam,,,,Fundiin,"['python', 'java', 'scala', 'gcp', 'bigquery', 'airflow']","{'cloud': ['gcp', 'bigquery'], 'libraries': ['airflow'], 'programming': ['python', 'java', 'scala']}"
Data Engineer,Data engineer,"Ho Chi Minh City, Vietnam",via LinkedIn,Full-time,FALSE,Vietnam,13/12/2023 09:15,TRUE,FALSE,Vietnam,,,,FPT Software,"['python', 'aws', 'redshift', 'pyspark', 'airflow']","{'cloud': ['aws', 'redshift'], 'libraries': ['pyspark', 'airflow'], 'programming': ['python']}"
Data Engineer,Data Engineering Manager,"Ho Chi Minh City, Vietnam",via CareerBuilder,Full-time,FALSE,Vietnam,07/08/2023 08:52,TRUE,FALSE,Vietnam,,,,DatvietVAC Group Holdings,,
Data Analyst,Data Analyst,"Ho Chi Minh City, Vietnam",via Smart Recruiters Jobs,Full-time,FALSE,Vietnam,14/12/2023 08:27,TRUE,FALSE,Vietnam,,,,Grab,"['python', 'r', 'mysql', 'git']","{'databases': ['mysql'], 'other': ['git'], 'programming': ['python', 'r']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn,Full-time,FALSE,Vietnam,22/09/2023 08:14,FALSE,FALSE,Vietnam,,,,Sagan School,"['python', 'java', 'scala', 'sql', 'nosql', 'aws', 'azure', 'spark', 'airflow']","{'cloud': ['aws', 'azure'], 'libraries': ['spark', 'airflow'], 'programming': ['python', 'java', 'scala', 'sql', 'nosql']}"
Data Analyst,"Data Analyst (BÏnh ?ãnh, Salary Upto $1200 + Ch? ?ô ?„i Ngô H?p D?n)",Vietnam,via Joblum,Full-time,FALSE,Vietnam,04/09/2023 08:17,TRUE,FALSE,Vietnam,,,,CÙng Ty TNHH Ayo Biomass,"['sql', 'excel', 'spreadsheet', 'tableau', 'power bi']","{'analyst_tools': ['excel', 'spreadsheet', 'tableau', 'power bi'], 'programming': ['sql']}"
Data Analyst,Data Analyst,Vietnam,via Vn.linkedin.com,Full-time,FALSE,Vietnam,28/07/2023 08:16,TRUE,FALSE,Vietnam,,,,Marathon Education (YC W22),"['sql', 'python', 'r', 'excel', 'looker', 'tableau', 'power bi']","{'analyst_tools': ['excel', 'looker', 'tableau', 'power bi'], 'programming': ['sql', 'python', 'r']}"
Data Analyst,Data Analyst,Vietnam,via Vn.linkedin.com,Full-time,FALSE,Vietnam,27/06/2023 08:42,FALSE,FALSE,Vietnam,,,,Gamma Interactive Inc,"['php', 'sql', 'excel', 'tableau']","{'analyst_tools': ['excel', 'tableau'], 'programming': ['php', 'sql']}"
Data Engineer,"Data Engineer (Python, SQL, AWS)","Ho Chi Minh City, Vietnam",via Find Jobs,Full-time,FALSE,Vietnam,12/10/2023 09:07,FALSE,FALSE,Vietnam,,,,GFT Technologies Vietnam,"['python', 'sql', 'aws', 'airflow', 'spark', 'tableau', 'power bi']","{'analyst_tools': ['tableau', 'power bi'], 'cloud': ['aws'], 'libraries': ['airflow', 'spark'], 'programming': ['python', 'sql']}"
Data Scientist,Data Scientist & AI Developper,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,30/03/2023 08:17,FALSE,FALSE,Vietnam,,,,"ARSEN Kawaijuku Tech Vietnam Co., Ltd.","['python', 'r']","{'programming': ['python', 'r']}"
Data Engineer,Data Engineer (Senior/Lead),"Ho Chi Minh City, Vietnam",via LinkedIn,Full-time,FALSE,Vietnam,04/10/2023 08:12,FALSE,FALSE,Vietnam,,,,FPT Software,"['java', 'scala', 'python', 'sql', 'no-sql', 'dynamodb', 'aws', 'spark', 'gitlab']","{'cloud': ['aws'], 'databases': ['dynamodb'], 'libraries': ['spark'], 'other': ['gitlab'], 'programming': ['java', 'scala', 'python', 'sql', 'no-sql']}"
Data Analyst,Data Analyst,Vietnam,via LinkedIn Vietnam,Full-time,FALSE,Vietnam,27/03/2023 08:30,FALSE,FALSE,Vietnam,,,,SGS,"['sql', 'power bi']","{'analyst_tools': ['power bi'], 'programming': ['sql']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,23/08/2023 08:20,TRUE,FALSE,Vietnam,,,,"transcosmos Vietnam Co., Ltd","['sql', 'c#', 'css', 'python', 'r', 'scala', 'sql server', 'azure', 'aws', 'asp.net', 'jquery', 'ssis']","{'analyst_tools': ['ssis'], 'cloud': ['azure', 'aws'], 'databases': ['sql server'], 'programming': ['sql', 'c#', 'css', 'python', 'r', 'scala'], 'webframeworks': ['asp.net', 'jquery']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,31/05/2023 08:22,TRUE,FALSE,Vietnam,,,,SnapTec,"['aws', 'node']","{'cloud': ['aws'], 'webframeworks': ['node']}"
Data Scientist,Data Scientist,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,10/05/2023 08:23,FALSE,FALSE,Vietnam,,,,PERSOLKELLY Vietnam,['azure'],{'cloud': ['azure']}
Data Scientist,Data Science Executive,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,23/04/2023 08:08,FALSE,FALSE,Vietnam,,,,NielsenIQ,"['python', 'tableau', 'word', 'outlook', 'powerpoint', 'excel', 'power bi', 'atlassian', 'git', 'bitbucket', 'confluence']","{'analyst_tools': ['tableau', 'word', 'outlook', 'powerpoint', 'excel', 'power bi'], 'async': ['confluence'], 'other': ['atlassian', 'git', 'bitbucket'], 'programming': ['python']}"
Data Scientist,Data Scientist,"Ho Chi Minh City, Vietnam",via Glints,Full-time,FALSE,Vietnam,21/06/2023 08:21,FALSE,FALSE,Vietnam,,,,CÙng ty TNHH Evergloww ( FLIPJUNGLE Project),"['python', 'r', 'sql', 'tableau']","{'analyst_tools': ['tableau'], 'programming': ['python', 'r', 'sql']}"
Data Engineer,"Data Engineer (Python, SQL, AWS)","Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,12/10/2023 09:07,FALSE,FALSE,Vietnam,,,,GFT Technologies Vietnam,"['python', 'sql', 'aws', 'airflow', 'spark', 'tableau', 'power bi']","{'analyst_tools': ['tableau', 'power bi'], 'cloud': ['aws'], 'libraries': ['airflow', 'spark'], 'programming': ['python', 'sql']}"
Data Scientist,Data Scientist - 2500 USD,"Hanoi, Vietnam",via Glints,Full-time,FALSE,Vietnam,26/09/2023 08:12,FALSE,FALSE,Vietnam,month,,,Digisource,"['python', 'pytorch', 'tensorflow']","{'libraries': ['pytorch', 'tensorflow'], 'programming': ['python']}"
Data Scientist,Research Analyst,Vietnam,via LinkedIn Vietnam,Full-time,FALSE,Vietnam,25/08/2023 08:24,FALSE,FALSE,Vietnam,,,,Kompa,"['excel', 'powerpoint']","{'analyst_tools': ['excel', 'powerpoint']}"
Data Scientist,Research Analyst,Vietnam,via LinkedIn,Full-time,FALSE,Vietnam,26/12/2023 08:24,FALSE,FALSE,Vietnam,,,,CBRE Vietnam,,
Data Engineer,Data Engineer/ AI Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn,Full-time,FALSE,Vietnam,23/10/2023 08:44,FALSE,FALSE,Vietnam,,,,Diksha Technology,"['python', 'java', 'scala', 'sql', 'nosql', 'aws', 'gcp', 'kafka', 'spark', 'tensorflow', 'pytorch', 'scikit-learn']","{'cloud': ['aws', 'gcp'], 'libraries': ['kafka', 'spark', 'tensorflow', 'pytorch', 'scikit-learn'], 'programming': ['python', 'java', 'scala', 'sql', 'nosql']}"
Data Engineer,Data Engineer t? 3 nÉm kinh nghiám (thã tr??ng US) l??ng upto $2000,"Hanoi, Ho√†n Ki·∫øm, Hanoi, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,16/05/2023 08:23,TRUE,FALSE,Vietnam,,,,VMO Group,"['sql', 'nosql', 'mongodb', 'mongodb', 'aws', 'redshift']","{'cloud': ['aws', 'redshift'], 'databases': ['mongodb'], 'programming': ['sql', 'nosql', 'mongodb']}"
Data Scientist,Data Scientist,"Hanoi, Vietnam",via Craigslist,Full-time,FALSE,Vietnam,17/07/2023 09:04,FALSE,FALSE,Vietnam,,,,Global Job Services,"['tensorflow', 'pytorch']","{'libraries': ['tensorflow', 'pytorch']}"
Data Engineer,K? s? chÌnh D? liáu lõn (Big Data Engineer),"Hanoi, Vietnam",via Find Jobs,Full-time,FALSE,Vietnam,19/09/2023 15:10,FALSE,FALSE,Vietnam,,,,Viettel,"['sql', 'java', 'scala', 'neo4j', 'cassandra', 'oracle', 'hadoop', 'spark', 'kafka']","{'cloud': ['oracle'], 'databases': ['neo4j', 'cassandra'], 'libraries': ['hadoop', 'spark', 'kafka'], 'programming': ['sql', 'java', 'scala']}"
Data Scientist,Data Scientist - Remote,Anywhere,via LinkedIn Vietnam,Full-time,TRUE,Vietnam,17/02/2023 15:17,FALSE,FALSE,Vietnam,,,,Aloha Consulting Group,"['python', 'sql', 'spark', 'pyspark']","{'libraries': ['spark', 'pyspark'], 'programming': ['python', 'sql']}"
Data Analyst,Employee Data Analyst,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,01/01/2023 16:08,TRUE,FALSE,Vietnam,,,,Unilever,,
Data Scientist,Data Scientist (Data Analyst),"Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,23/11/2023 15:39,FALSE,FALSE,Vietnam,,,,Deliveree On-Demand Logistics,"['sql', 'flow']","{'other': ['flow'], 'programming': ['sql']}"
Data Engineer,Data Engineer (Mid Äì Senior Level),"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,09/08/2023 15:10,FALSE,FALSE,Vietnam,,,,Hitachi Vantara,"['sql', 'aws', 'azure', 'spark', 'git']","{'cloud': ['aws', 'azure'], 'libraries': ['spark'], 'other': ['git'], 'programming': ['sql']}"
Data Scientist,Data Scientist,"Ho Chi Minh City, Vietnam",via LinkedIn,Full-time,FALSE,Vietnam,25/10/2023 16:04,FALSE,FALSE,Vietnam,,,,Trinh Le,"['python', 'sql', 'numpy', 'pandas']","{'libraries': ['numpy', 'pandas'], 'programming': ['python', 'sql']}"
Data Engineer,Data Engineer (TechHub),"Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,03/08/2023 15:12,TRUE,FALSE,Vietnam,,,,Athena Studio,"['sql', 'python', 'shell', 'bash', 'gcp', 'pandas', 'kafka']","{'cloud': ['gcp'], 'libraries': ['pandas', 'kafka'], 'programming': ['sql', 'python', 'shell', 'bash']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via Trabajo.org,Full-time,FALSE,Vietnam,18/03/2023 15:18,FALSE,FALSE,Vietnam,,,,Manpower Vietnam,"['sql', 'azure']","{'cloud': ['azure'], 'programming': ['sql']}"
Data Engineer,Data/AI Engineer [A-D],"Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,31/08/2023 15:52,FALSE,FALSE,Vietnam,,,,Aloha Consulting Group,"['python', 'java', 'scala', 'sql', 'nosql', 'aws', 'gcp', 'tensorflow', 'pytorch', 'scikit-learn', 'kafka', 'spark']","{'cloud': ['aws', 'gcp'], 'libraries': ['tensorflow', 'pytorch', 'scikit-learn', 'kafka', 'spark'], 'programming': ['python', 'java', 'scala', 'sql', 'nosql']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via Ai-Jobs.net,Full-time,FALSE,Vietnam,17/02/2023 15:17,FALSE,FALSE,Vietnam,year,98283,,Carousell Group,"['python', 'golang', 'bash', 'kafka', 'flask', 'terraform']","{'libraries': ['kafka'], 'other': ['terraform'], 'programming': ['python', 'golang', 'bash'], 'webframeworks': ['flask']}"
Data Engineer,Data Engineer Manager,"Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,09/09/2023 15:09,TRUE,FALSE,Vietnam,,,,Generali Vietnam Life Insurance,"['python', 'sql', 'hadoop', 'spark', 'spss']","{'analyst_tools': ['spss'], 'libraries': ['hadoop', 'spark'], 'programming': ['python', 'sql']}"
Data Engineer,Data Engineer,"Hanoi, Vietnam",via Indeed,Full-time,FALSE,Vietnam,22/11/2023 15:59,FALSE,FALSE,Vietnam,,,,Viettel,"['nosql', 'java', 'scala', 'sql', 'mongodb', 'mongodb', 'neo4j', 'cassandra', 'oracle', 'hadoop', 'spark', 'kafka']","{'cloud': ['oracle'], 'databases': ['mongodb', 'neo4j', 'cassandra'], 'libraries': ['hadoop', 'spark', 'kafka'], 'programming': ['nosql', 'java', 'scala', 'sql', 'mongodb']}"
Data Engineer,AWS Data Engineer (Glue),Vietnam,via LinkedIn,Full-time,FALSE,Vietnam,26/10/2023 15:27,TRUE,FALSE,Vietnam,,,,HCLTech,"['python', 'sql', 'aws', 'redshift', 'pyspark', 'airflow']","{'cloud': ['aws', 'redshift'], 'libraries': ['pyspark', 'airflow'], 'programming': ['python', 'sql']}"
Data Scientist,Data Scientist,Anywhere,via LinkedIn Vietnam,Contractor,TRUE,Vietnam,07/06/2023 15:52,FALSE,FALSE,Vietnam,,,,BrainX,,
Data Engineer,"Data Engineer (SQL, Python, Oracle)","Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,21/08/2023 15:21,TRUE,FALSE,Vietnam,,,,HDBank,"['python', 'sql', 'oracle']","{'cloud': ['oracle'], 'programming': ['python', 'sql']}"
Data Engineer,Data Engineer,"Ho Chi Minh City, Vietnam",via LinkedIn Vietnam,Full-time,FALSE,Vietnam,11/03/2023 15:25,FALSE,FALSE,Vietnam,,,,Ch? Tët,"['python', 'scala', 'golang', 'bash', 'kafka', 'flask', 'terraform', 'kubernetes', 'docker']","{'libraries': ['kafka'], 'other': ['terraform', 'kubernetes', 'docker'], 'programming': ['python', 'scala', 'golang', 'bash'], 'webframeworks': ['flask']}"
Data Engineer,Crypto Data Engineer Intern ( Hanoi-Remote),Anywhere,via LinkedIn,Full-time and Internship,TRUE,Vietnam,27/10/2023 15:26,FALSE,FALSE,Vietnam,,,,Token Metrics,"['sql', 'python', 'r', 'java', 'c++', 'php']","{'programming': ['sql', 'python', 'r', 'java', 'c++', 'php']}"
Data Analyst,Data Analyst Sql,"Hanoi, Vietnam",via JobsGO,Full-time,FALSE,Vietnam,26/02/2023 15:12,TRUE,FALSE,Vietnam,,,,CÙng Ty TNHH Ph·t TriÉn Th??ng M?i V‡ Dãch V? K&K,"['sql', 'power bi', 'excel']","{'analyst_tools': ['power bi', 'excel'], 'programming': ['sql']}"
Data Scientist,Data Science,"Ho Chi Minh City, Vietnam",via CareerBuilder,Full-time,FALSE,Vietnam,02/11/2023 15:30,FALSE,FALSE,Vietnam,,,,CîNG TY TNHH TH??NG M?I DäCH V? ?M TH?C ICOOL,,
Data Engineer,Data Engineer (Working Location - Vitenam/Malaysia/Indonesia),"Ho Chi Minh City, Vietnam",via LinkedIn,Full-time,FALSE,Vietnam,14/12/2023 15:27,TRUE,FALSE,Vietnam,,,,LittleLives,"['sql', 'nosql', 'aws', 'databricks', 'airflow', 'spark']","{'cloud': ['aws', 'databricks'], 'libraries': ['airflow', 'spark'], 'programming': ['sql', 'nosql']}"
Data Analyst,Data Analyst,Vietnam,via Trabajo.org,Full-time,FALSE,Vietnam,10/02/2023 15:54,FALSE,FALSE,Vietnam,,,,Manpower Vietnam,"['sql', 'r', 'python']","{'programming': ['sql', 'r', 'python']}"
Data Engineer,"Data Engineer (Web scraping, US company)",Anywhere,via LinkedIn Vietnam,Full-time,TRUE,Vietnam,14/05/2023 15:15,TRUE,FALSE,Vietnam,,,,Hyperion360 Inc.,,
Data Engineer,Lead Data Engineer,"Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,30/09/2023 15:34,TRUE,FALSE,Vietnam,,,,Employment Hero,"['python', 'java', 'scala', 'sql', 'nosql', 'ruby', 'ruby', 'c', 'aws', 'azure', 'gcp', 'hadoop', 'spark', 'airflow', 'react', 'ruby on rails', 'node']","{'cloud': ['aws', 'azure', 'gcp'], 'libraries': ['hadoop', 'spark', 'airflow', 'react'], 'programming': ['python', 'java', 'scala', 'sql', 'nosql', 'ruby', 'c'], 'webframeworks': ['ruby', 'ruby on rails', 'node']}"
Data Scientist,Analytics Engineer,Anywhere,via LinkedIn Vietnam,Full-time,TRUE,Vietnam,09/01/2023 15:31,FALSE,FALSE,Vietnam,,,,Joon Solutions,"['sql', 'python', 'r', 'bigquery', 'snowflake', 'power bi']","{'analyst_tools': ['power bi'], 'cloud': ['bigquery', 'snowflake'], 'programming': ['sql', 'python', 'r']}"
Data Scientist,Data Science Executive,"Ho Chi Minh City, Vietnam",via Ai-Jobs.net,Full-time,FALSE,Vietnam,16/03/2023 15:39,FALSE,FALSE,Vietnam,year,93600,,NielsenIQ,"['python', 'tableau', 'word', 'outlook', 'powerpoint', 'excel', 'power bi', 'atlassian', 'git', 'bitbucket', 'confluence']","{'analyst_tools': ['tableau', 'word', 'outlook', 'powerpoint', 'excel', 'power bi'], 'async': ['confluence'], 'other': ['atlassian', 'git', 'bitbucket'], 'programming': ['python']}"
Data Engineer,Junior Data Engineer,Vietnam,via Vn.linkedin.com,Full-time,FALSE,Vietnam,24/03/2023 15:49,FALSE,FALSE,Vietnam,,,,KromLab,"['python', 'elasticsearch', 'redis', 'flask']","{'databases': ['elasticsearch', 'redis'], 'programming': ['python'], 'webframeworks': ['flask']}"
Data Engineer,Data Engineer Manager,"Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,09/09/2023 15:09,TRUE,FALSE,Vietnam,,,,Generali Vietnam Life Insurance,"['python', 'sql', 'hadoop', 'spark', 'spss']","{'analyst_tools': ['spss'], 'libraries': ['hadoop', 'spark'], 'programming': ['python', 'sql']}"
Data Engineer,Data Analytics Engineer,"Ho Chi Minh City, Vietnam",via Indeed,Full-time,FALSE,Vietnam,03/11/2023 15:24,TRUE,FALSE,Vietnam,,,,Skedulo Vietnam,"['sql', 'redshift', 'airflow', 'power bi', 'looker', 'tableau']","{'analyst_tools': ['power bi', 'looker', 'tableau'], 'cloud': ['redshift'], 'libraries': ['airflow'], 'programming': ['sql']}"
Data Analyst,"Data Analyst, Analytic & Report",Vietnam,via LinkedIn Vietnam,Full-time,FALSE,Vietnam,21/06/2023 15:21,FALSE,FALSE,Vietnam,,,,Hoiana Resort & Golf,"['vba', 'sql', 'sas', 'sas', 'python', 'react', 'excel']","{'analyst_tools': ['sas', 'excel'], 'libraries': ['react'], 'programming': ['vba', 'sql', 'sas', 'python']}"
Data Engineer,Data Engineer (Remote fulltime),Anywhere,via LinkedIn Vietnam,Full-time,TRUE,Vietnam,30/08/2023 15:29,TRUE,FALSE,Vietnam,,,,Savvycom - Software Product Development,"['python', 'java', 'scala', 'sql', 'aws', 'gcp', 'azure', 'redshift', 'bigquery', 'hadoop', 'spark', 'airflow', 'sap', 'docker', 'terraform', 'github', 'gitlab']","{'analyst_tools': ['sap'], 'cloud': ['aws', 'gcp', 'azure', 'redshift', 'bigquery'], 'libraries': ['hadoop', 'spark', 'airflow'], 'other': ['docker', 'terraform', 'github', 'gitlab'], 'programming': ['python', 'java', 'scala', 'sql']}"
